Spolka;Sektor;Kurs zamkniecia;Rating;ZScore;Free Float;Potencjal zm. wg sredniej;Wartosc ksiegowa;Wartosc skorygowanych aktywow netto;Wartosc likwidacyjna wg J.Wilcoxa;Wartosc renty wieczystej;Wartosc zyskow dodatkowych;Wartosc metoda berlinska;Wartosc metoda szwajcarska;wg Ceny do wartości ksiegowej;wg Ceny do zysku operacyjnego;wg Ceny do przychodow;wg Wskaznika EV/EBIT;wg Wskaznika EV/Przychody;Wyliczona srednia;Stopa dywidendy za okres;Stopa dywidendy
NETIA;Telekomunikacja;5,47;BBB                      ;6,12;30,4564844293895;+14%;5,88;4,68;2,09;5,1;6,65;Wycena niemozliwa;Wycena niemozliwa;5,71;3,21;5,87;4,32;7,32;6,25;2014-01-01 - 2014-12-31;9,05%
NETMEDIA;Inne;5,02;BBB+                     ;6,35;32,7229238020059;+139%;6,99;3,6;2,53;4,8;8,16;Wycena niemozliwa;Wycena niemozliwa;15,1;9,43;40,79;9,79;36,6;12,02; - ;brak
NEUCA;Handel hurtowy;328,5;B                        ;4,17;43,1039338402626;-24%;115,93;69,84;-80,33;250,21;348,17;183,83;205,95;113,03;169,84;452,41;222,55;644,47;248,79;2014-01-01 - 2014-12-31;1,50%
NEWWORLDR;Surowcowy;0,01;D                        ;-2,72;28,3250806844455;> +250%;-0,02;-0,02;-0,1;0,34;Wycena niemozliwa;0,19;0,24;0,03;Wycena niemozliwa;0,1;Wycena niemozliwa;0,48;0,08;2011-01-01 - 2011-12-31;13,53%
NFIEMF;Handel detaliczny;4,35;B                        ;4,17;7,6048452379774;-81%;-1,16;-3,49;-7,57;Wycena niemozliwa;2,8;Wycena niemozliwa;Wycena niemozliwa;-2,48;11,97;15,69;5,91;14,44;0,82;2010-01-01 - 2010-12-31;1,83%
NOVITA;Lekki;50,25;AAA                      ;9,04;12,37396;-18%;29,29;29,29;12,36;39,2;44,07;34,24;35,9;48,28;58,55;24,43;52,71;29,94;41,10;2014-01-01 - 2014-12-31;12,40%
NOWAGALA;Mat. budowlanych;1,2;AA+                      ;7,68;21,539085241466;+154%;4,22;3,73;1,88;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;3,97;Wycena niemozliwa;1,98;Wycena niemozliwa;2,01;3,05;2014-01-01 - 2014-12-31;7,58%
NTTSYSTEM;Informatyka;2,55;A+                       ;6,93;34,8023537906137;+154%;9,21;6,91;3,76;3,4;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;25,92;6,51;121,94;6,89;141,13;6,48;2014-01-01 - 2014-12-31;5,77%
ODLEWNIE;Metalowy;3,29;CCC                      ;2,91;27,6851940617266;+7%;1,84;1,8;0,44;3,7;2,77;2,77;3,08;2,17;5,02;4,46;4,2;4,26;3,53; - ;brak
OEX;Handel detaliczny;14,17;BB+                      ;5,62;27,2677704227268;+48%;12,43;1,61;2,15;13,1;23,83;12,76;12,88;26,54;29,54;25,13;35,39;36,08;20,96;2014-01-01 - 2014-12-31;4,58%
OPENFIN;Inne;3,04;BB+                      ;5,64;21,6674706466069;+110%;7,19;0,41;1,92;8;Wycena niemozliwa;7,6;7,73;8,14;2,86;34,55;2,65;33,01;6,39;2011-01-01 - 2011-12-31;1,66%
OPONEO.PL;Handel detaliczny;24,4;BB                       ;5,11;36,0369331228473;-58%;5,29;3,09;1,16;5,2;7,23;Wycena niemozliwa;Wycena niemozliwa;11,29;7,85;15,49;11,16;24,56;10,27;2014-01-01 - 2014-12-31;0,41%
ORANGEPL;Telekomunikacja;6,46;BB                       ;5,21;49,3278310489973;-17%;9,3;4,02;1,43;3,3;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;9,03;4,42;11,87;4,16;13,59;5,36;2013-01-01 - 2013-12-31;4,76%
ORBIS;Hotele i restauracje;60;AA+                      ;8,09;27,0724804874483;-24%;37,54;35,07;14,4;33;39,73;Wycena niemozliwa;Wycena niemozliwa;76,25;49,07;35,42;53,47;40,66;45,51;2014-01-01 - 2014-12-31;2,68%
ORION;Deweloperzy;91,51;AAA                      ;10,16;15,8582737694861;-41%;24,87;24,87;10,45;50,1;48,79;37,48;41,69;17;82,97;69,35;86,04;87,97;53,78;2014-01-01 - 2014-12-31;3,90%
ORZBIALY;Metalowy;6,24;AAA                      ;8,64;22,2157346539465;+73%;14,68;14,1;6,94;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;17,32;0,22;20,46;1,34;25,61;10,81;2012-01-01 - 2012-12-31;1,83%
OTLOG;Inne;163,95;BBB-                     ;5,71;13,9236232716473;+132%;191,54;140,52;-22,97;177,6;240,43;Wycena niemozliwa;Wycena niemozliwa;413,78;318,95;1088,51;194,27;840,68;379,93;2014-01-01 - 2014-12-31;2,67%
OTMUCHOW;Spożywczy;5,67;BB                       ;5,15;14,9653324966172;+34%;11,82;10,31;3,38;3,5;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;22,01;3,69;12,05;2,93;16,1;7,60; - ;brak
OVOSTAR;Spożywczy;92,1;AAA                      ;15,08;9,44553333333333;+6%;49,89;28;24,52;181,9;81,69;115,9;137,9;92,87;126,37;28,09;172,53;38,2;97,79; - ;brak
PAGED;Drzewny;54;BBB+                     ;6,28;24,2491532742482;+7%;39,98;27,49;7,38;59,6;54,29;49,79;53,06;53,12;92,43;49,3;83,91;240,08;57,53;2006-01-01 - 2006-12-31;0,95%
PATENTUS;Elektromasz.;0,59;A-                       ;6,65;20,2006779661017;> +250%;3,35;3,09;0,84;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;5,21;0,57;1,7;Wycena niemozliwa;1,16;2,10; - ;brak
PBSFINANSE;Inne;3,59;AAA                      ;11,39;34,5535304247991;-45%;2,56;2,56;1,39;0,5;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;2,9;Wycena niemozliwa;5,22;Wycena niemozliwa;5,46;1,98; - ;brak
PCCEXOL;Chemiczny;2,09;BB-                      ;4,94;4,01847358068505;-27%;1,35;0,16;0,01;0,6;1,35;Wycena niemozliwa;Wycena niemozliwa;2,56;1,55;2,59;0,8;2,02;1,53;2014-01-01 - 2014-12-31;0,32%
PCCROKITA;Chemiczny;45,33;BBB                      ;6,07;15,8378103388354;-13%;28,32;27,13;0,35;36,8;43,91;32,56;33,97;53,56;44,67;46,63;41,49;43,08;39,57;2014-01-01 - 2014-12-31;7,52%
PEGAS;Farmaceutyczny;119,5;AA-                      ;7,09;66,2754891975643;+32%;71,56;32,17;-2,04;110,2;112,57;90,88;97,32;145,58;284,08;178,92;296,66;189,45;157,16;2014-01-01 - 2014-12-31;3,92%
PEIXIN;Elektromasz.;3,76;AAA                      ;15,39;19,2307692307692;> +250%;26,05;26,05;16,65;44,2;40,77;35,12;38,15;40,51;47,41;18,92;72,14;32,75;39,57;2013-01-01 - 2013-12-31;2,41%
PEKAES;Inne;12,1;AAA                      ;9,1;22,2926541740127;-35%;10,72;10,61;4,96;7,5;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;23,16;5,7;45,62;6,11;41,08;7,84;2010-01-01 - 2010-12-31;11,26%
PEMUG;Budownictwo;0,38;AAA                      ;14,06;7,90815171999523;+122%;0,86;0,86;0,83;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;1;Wycena niemozliwa;0;0,69;0,92;0,84; - ;brak
PEP;Energetyka;24,6;BB                       ;5,03;14,8466117752648;-31%;30,59;26,42;3,21;15,2;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;28,88;13,17;29,51;13,37;44,4;16,90;2005-01-01 - 2005-12-31;3,50%
PEPEES;Spożywczy;0,54;BBB+                     ;6,25;40,4394442105263;+38%;1,13;1,12;0,36;0,6;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;2,1;0,61;0,89;0,55;1,04;0,74; - ;brak
PGE;Energetyka;13,97;BBB-                     ;5,83;41,6138316158938;+2%;21,15;20,69;7,39;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;19,97;Wycena niemozliwa;7,62;Wycena niemozliwa;14,86;14,27;2014-01-01 - 2014-12-31;5,05%
PGNIG;Paliwowy;4,88;AAA                      ;8,19;29,1733625762712;-28%;5,26;5,07;1,78;4,8;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;4,64;6,76;2,54;7,61;3,25;3,52;2014-01-01 - 2014-12-31;2,92%
PGODLEW;Metalowy;5,78;A-                       ;6,43;15,8563676012461;-53%;2,47;2,28;0,73;3,2;3,54;2,84;2,96;2,91;2,95;2,11;2,44;1,87;2,73; - ;brak
PHN;Deweloperzy;17,29;AA+                      ;8,13;25,0941045910678;+75%;42,75;42,72;17,92;26,87;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;29,22;13,75;10,65;11,63;10,77;30,34;2014-01-01 - 2014-12-31;5,63%
PKNORLEN;Paliwowy;57,64;AA-                      ;7,21;55,4112331513126;+32%;56,68;53,65;11,77;75,6;75,36;66,14;69,29;50,08;100,95;81,21;101,72;96,29;76,10;2014-01-01 - 2014-12-31;2,37%
PKPCARGO;Inne;48,6;BB                       ;5,05;43,1625155176455;-2%;79,04;77,48;15,85;12,1;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;170,76;10,78;189,61;Wycena niemozliwa;149,94;47,44;2014-01-01 - 2014-12-31;2,82%
PLASTBOX;Tworzyw sztucznych;2,16;BB+                      ;5,5;24,3717113800363;+45%;1,74;1,71;0,38;1;2,93;Wycena niemozliwa;Wycena niemozliwa;2,28;4,13;2,47;5,12;2,75;3,13;2014-01-01 - 2014-12-31;4,09%
PLATYNINW;Inne;2,88;AAA                      ;5170,62;34,8557181571816;> +250%;103,91;103,91;72,73;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;224,47;Wycena niemozliwa;4,85;Wycena niemozliwa;4,35;88,32; - ;brak
PMPG;Media;1,97;CCC-                     ;1,86;26,2179265018395;+122%;2,26;0,87;0,25;0,5;4,29;Wycena niemozliwa;Wycena niemozliwa;2,92;5,9;5,29;4,22;5,57;4,37; - ;brak
POLCOLORIT;Mat. budowlanych;1,28;A+                       ;6,93;11,7394530191228;+200%;5,47;5,43;2,2;0,3;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;5,14;1,24;1,44;0,5;0,71;3,84;2005-01-01 - 2005-12-31;1,42%
POLICE;Chemiczny;24;BBB                      ;6,16;5,16731866666667;-6%;15,82;14,73;3,93;17,2;18,89;16,51;16,74;29,92;23,11;31,63;24,86;34,64;22,53;2014-01-01 - 2014-12-31;2,48%
POLMED;Inne;2,82;A                        ;6,82;3,8207855021569;-22%;1,35;0,92;0,52;1,3;1,54;Wycena niemozliwa;Wycena niemozliwa;2,92;1,76;4,86;1,66;4,21;2,20;2014-01-01 - 2014-12-31;2,15%
POLNA;Elektromasz.;21,7;AAA                      ;9,44;41,4529531145255;+19%;20,64;20,64;10,54;21,03;Wycena niemozliwa;20,83;20,9;32,11;27,11;20,38;40,65;31,31;25,91;2014-01-01 - 2014-12-31;14,39%
POLNORD;Deweloperzy;11,54;BBB-                     ;5,81;69,11985823442;+69%;28,32;28,3;10,62;4,94;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;19,75;3,78;18,95;Wycena niemozliwa;16,76;19,47;2011-01-01 - 2011-12-31;4,43%
POLWAX;Chemiczny;16,07;AA-                      ;7,25;37,9298359526796;+9%;6,99;6,95;1,99;15,1;13,95;11,04;12,39;13,23;27,65;22,66;30,16;23,74;17,58;2014-01-01 - 2014-12-31;6,44%
POZBUD;Mat. budowlanych;4,3;BBB+                     ;6,35;51,0146996477464;-4%;6,33;6,24;1,89;4,8;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;5,95;8,14;4,85;10,04;5,36;4,11;2011-01-01 - 2011-12-31;1,67%
PRAGMAFA;Inne;12,72;AAA                      ;8,43;16,5012802475535;-44%;12,91;12,65;1,32;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;14,61;8,48;998,75;Wycena niemozliwa;998,8;7,12;2014-01-01 - 2014-12-31;8,71%
PRESCO;Inne;4,99;AAA                      ;12,86;13,3584365482234;-9%;5,82;5,69;3,22;1,3;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;6,58;3,21;9,86;3,4;7,91;4,52;2013-01-01 - 2013-12-31;2,55%
PROCAD;Informatyka;1,62;AAA                      ;9,52;40,6509369109657;+182%;2;1,46;1,06;3,2;3,32;2,6;2,8;5,62;4,06;14,58;4,94;17,18;4,58;2014-01-01 - 2014-12-31;4,74%
PROCHEM;Budownictwo;16,5;AA+                      ;8,07;35,2370731707317;+36%;31,85;31,75;12,94;9,8;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;36,96;9,85;121,59;15,14;46,7;22,40;2014-01-01 - 2014-12-31;1,63%
PROCHNIK;Lekki;0,98;BB                       ;4,95;71,9618821228677;-34%;0,87;0,6;0,42;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;1,43;Wycena niemozliwa;0,68;Wycena niemozliwa;0,37;0,64; - ;brak
PROJPRZEM;Budownictwo;8,08;AAA                      ;8,32;48,7443495562885;+60%;17,4;16,94;8,48;8,3;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;20,19;7,74;48,01;11,52;18,41;12,94;2014-01-01 - 2014-12-31;6,90%
PROTEKTOR;Lekki;2,98;AAA                      ;11,12;45,4571487151449;+56%;3,22;2,96;1,72;3,2;3,77;Wycena niemozliwa;Wycena niemozliwa;5,31;7,13;4,03;6,13;4,57;4,64;2014-01-01 - 2014-12-31;8,45%
PSG;Telekomunikacja;0,52;BBB-                     ;5,67;45,0593846135744;+225%;2,15;1,42;0,5;2,2;2,22;2,17;2,18;2,09;1,21;7,25;0,8;8,99;1,69; - ;brak
PULAWY;Chemiczny;219,85;AAA                      ;11,61;4,02440491760398;-1%;153,12;150,52;76,09;201,3;234,05;177,21;185,24;289,59;227,77;175,19;290,3;223,72;216,88;2014-01-01 - 2014-12-31;3,90%
PWRMEDIA;Informatyka;1,16;AAA                      ;11,61;45,088875;+51%;0,8;0,71;0,53;1,1;1,08;0,95;1;2,25;1,17;3,94;1,61;4,84;1,76;2014-01-01 - 2014-12-31;5,16%
PZU;Ubezpieczenia;31,59;B+                       ;4,67;59,1198856313034;-85%;1,43;12,52;-10;10,91;10,7;5,53;7,32;3,16;31,59;31,59;3,15;3,21;4,80;2014-01-01 - 2014-12-31;6,98%
QUANTUM;Informatyka;6,15;AAA                      ;13,9;28,1640404198663;> +250%;8,29;7,61;6,28;5,3;13,34;Wycena niemozliwa;Wycena niemozliwa;23,33;18,26;40,75;25,73;51,9;21,74; - ;brak
QUERCUS;Rynek kapitałowy;5,12;AAA                      ;17,99;42,4274280116065;-34%;0,59;0,57;0,49;3,78;0,96;2,2;2,73;1,85;5,03;4,52;4,64;11,12;3,38;2012-01-01 - 2012-12-31;3,89%
RADPOL;Tworzyw sztucznych;6,46;BB-                      ;4,93;31,3488209373092;-71%;3,71;3,13;0,06;0,79;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;4,85;3,54;5,7;2,61;4,96;1,88;2014-01-01 - 2014-12-31;4,71%
RAFAKO;Elektromasz.;7,14;BB-                      ;4,84;31,5021777775674;-62%;4,91;4,77;0,51;4,1;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;7,64;4,34;14,08;6,68;20,08;2,71;2010-01-01 - 2010-12-31;5,24%
RAFAMET;Elektromasz.;13,82;BB+                      ;5,54;13,8998045940203;-7%;20,97;20,51;4,65;8,3;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;32,62;12,47;19,4;10,04;19,55;12,81;2014-01-01 - 2014-12-31;0,65%
RAINBOW;Hotele i restauracje;20,74;A+                       ;6,94;32,9890805387576;+44%;6,95;5,88;2,98;19,5;15,55;13,23;15,32;14,12;31,36;109,99;42,89;146,03;29,80;2014-01-01 - 2014-12-31;3,20%
RAWLPLUG;Metalowy;7,78;BB                       ;5,03;21,9186824324324;-9%;12,05;9,84;2,17;10,1;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;14,22;12,67;13,6;6,68;9,64;7,11;2014-01-01 - 2014-12-31;3,81%
REDAN;Handel detaliczny;1,69;BB+                      ;5,38;40,3152248196573;+153%;3,11;2,85;0,33;1,5;3,27;Wycena niemozliwa;Wycena niemozliwa;6,64;1,86;8,46;1,19;11,54;4,27; - ;brak
RELPOL;Elektromasz.;7,3;AAA                      ;9,59;35,6625889395707;+29%;7,58;6,63;3,78;7,7;9,53;7,64;7,66;11,79;9,35;9,92;12,47;13,22;9,42;2014-01-01 - 2014-12-31;5,87%
REMAK;Elektromasz.;17,99;CCC                      ;2,71;14,7058333333333;-33%;1,81;1,72;-7,68;10,6;6,98;6,2;7,67;2,81;17,1;27,25;16,16;30,11;12,08;2009-01-01 - 2009-12-31;4,35%
RESBUD;Budownictwo;1,22;AA                       ;7,38;30,1646696302283;-65%;0,35;0,35;0,13;Wycena niemozliwa;0,5;Wycena niemozliwa;Wycena niemozliwa;0,41;Wycena niemozliwa;0,04;Wycena niemozliwa;Wycena niemozliwa;0,42;2008-01-01 - 2008-12-31;20,38%
ROBYG;Deweloperzy;2,84;AA-                      ;7,11;37,3156329344868;+10%;1,93;1,85;0,43;3,3;3,23;2,62;2,84;1,32;2,75;5,69;2,4;7,25;3,13;2014-01-01 - 2014-12-31;4,42%
RONSON;Deweloperzy;1,25;AAA                      ;9,28;13,0935621970921;-5%;1,66;1,66;0,71;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;1,14;Wycena niemozliwa;2,08;Wycena niemozliwa;2,25;1,18;2014-01-01 - 2014-12-31;3,15%
ROPCZYCE;Mat. budowlanych;20,2;BBB                      ;6;48,7490175814919;+53%;48,6;47,34;13,23;29,14;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;45,67;45,67;26,07;49,42;21,67;30,92;2014-01-01 - 2014-12-31;3,71%
ROVESE;Mat. budowlanych;1,59;B-                       ;3,98;0,643673466498963;-35%;1,72;1,18;0,34;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;1,61;0,68;1,14;0,12;0,7;1,03; - ;brak
RUBICON;Inne;1,15;D                        ;-0,14;54,9888496270122;+147%;4,7;0,9;0,97;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;5,32;Wycena niemozliwa;2,9;Wycena niemozliwa;0,55;2,84; - ;brak
SANOK;Motoryzacyjny;46,82;AAA                      ;8,19;49,4768454428221;-35%;14,15;13,46;6,92;24,09;19,86;19,12;20,78;28,84;51,96;31,6;56,32;33,59;30,60;2014-01-01 - 2014-12-31;4,18%
SANWIL;Lekki;0,69;AA                       ;7,4;73,0529189051674;> +250%;5,98;5,93;2,55;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;9,85;Wycena niemozliwa;5,78;Wycena niemozliwa;6,98;4,26; - ;brak
SCOPAK;Drzewny;2,71;CCC+                     ;3,51;59,0791974656811;+114%;2,96;2,96;-3,15;0,63;5,45;Wycena niemozliwa;Wycena niemozliwa;3,65;11,93;5,54;6,03;21,75;5,79; - ;brak
SECOGROUP;Elektromasz.;14,5;BB+                      ;5,6;22,5524491729881;-4%;22,86;13,62;5,04;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;35,55;21,46;38,37;29,31;52,55;13,95;2013-01-01 - 2013-12-31;2,95%
SEKO;Spożywczy;5,1;BB+                      ;5,46;15,6803909774436;+6%;8,1;8,09;2,67;4,8;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;15,08;4,16;12,41;5,95;18,99;5,38;2014-01-01 - 2014-12-31;5,28%
SELENAFM;Mat. budowlanych;15;BB+                      ;5,48;22,9745116930893;+52%;17,77;15,59;4,53;4,4;20,76;Wycena niemozliwa;Wycena niemozliwa;16,7;28,16;23,27;33,06;25,5;22,84;2014-01-01 - 2014-12-31;1,27%
SELVITA;Farmaceutyczny;20,1;AAA                      ;9,79;42,1829296531566;-68%;3,14;3,14;2,43;5,2;5,38;4,17;4,51;6,39;10,19;4,77;12,87;7,41;6,50; - ;brak
SFINKS;Hotele i restauracje;3,65;D                        ;-2,73;59,1327089203718;-54%;-0,34;-1,01;-1,95;12,12;1,47;5,91;7,98;-0,69;9,1;8,42;7,8;7,78;1,68; - ;brak
SILVANO;Handel detaliczny;5,18;AAA                      ;16,38;57,8947368421053;+97%;4,97;4,79;3,5;6,8;Wycena niemozliwa;5,95;6,23;10,61;19,53;4,06;26,68;8,33;10,20;2014-01-01 - 2014-12-31;7,04%
SIMPLE;Informatyka;9,1;BB+                      ;5,4;45,3535353074152;+26%;3,65;1,08;0,35;12,3;7,84;7,98;9,42;10,28;11,1;33,28;11,83;37,64;11,48;2014-01-01 - 2014-12-31;6,03%
SKOTAN;Lekki;0,63;D                        ;-18,66;87,8518518518518;-67%;0,29;0,26;0,13;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;0,48;Wycena niemozliwa;0,01;Wycena niemozliwa;0,07;0,21; - ;brak
SKYLINE;Inne;0,5;AAA                      ;20,37;33,71554;> +250%;2,91;2,9;1,59;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;3,29;Wycena niemozliwa;2,95;Wycena niemozliwa;3,03;2,25; - ;brak
SMT;Media;13,35;AAA                      ;9,56;61,7971414281644;+33%;6,6;6,13;2,06;20,85;13,93;13,62;16,03;8,54;33,47;25,12;23,39;25,87;17,76; - ;brak
SNIEZKA;Mat. budowlanych;57,99;AA-                      ;7,06;23,7319280779865;-38%;16,2;16,08;4,58;39,3;31,75;27,75;31,6;15,23;63,23;22,64;80,28;24,04;36,02;2014-01-01 - 2014-12-31;6,14%
SOHODEV;Deweloperzy;1,16;BBB                      ;6,03;33,6542635582324;+68%;2,83;2,82;1,06;0,5;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;1,94;0,52;3,11;0,57;4,35;1,94; - ;brak
SOLAR;Handel detaliczny;1,03;AAA                      ;19,71;40,0333333333333;> +250%;4,63;4,59;3,09;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;9,88;Wycena niemozliwa;2,61;Wycena niemozliwa;4,2;3,86;2013-01-01 - 2013-12-31;1,71%
SONEL;Elektromasz.;12,1;AAA                      ;11,45;23,9534428571429;-34%;5;3,84;2,67;8,5;7,73;6,75;7,33;7,77;8,97;5,41;12,73;7,79;7,97;2014-01-01 - 2014-12-31;4,16%
SOPHARMA;Farmaceutyczny;6,01;BBB+                     ;6,35;37,1624921391018;-23%;7,25;6,78;1,99;3,8;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;14,75;12,04;23,37;7,97;18,95;4,62; - ;brak
STALEXP;Inne;3,08;B                        ;4,25;39,3665629759892;+23%;1,61;-0,62;-0,83;4,4;4,37;3;3,47;3,48;6,53;2,03;6,56;1,66;3,78; - ;brak
STALPROD;Metalowy;237;AA-                      ;7,29;27,0626617100372;+63%;316,57;297,95;118,56;302,4;366,22;Wycena niemozliwa;Wycena niemozliwa;373,58;424,96;307,91;453,07;375;387,10;2014-01-01 - 2014-12-31;0,62%
STALPROFI;Handel hurtowy;9,4;BBB                      ;6,25;34,252;+30%;18,76;18,5;5,74;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;18,29;Wycena niemozliwa;11,03;Wycena niemozliwa;2,16;12,25;2014-01-01 - 2014-12-31;0,78%
STARHEDGE;Inne;0,38;D                        ;0,68;74,3709197278235;> +250%;1,33;1,05;0,38;Wycena niemozliwa;2,95;Wycena niemozliwa;Wycena niemozliwa;1,5;Wycena niemozliwa;0,2;Wycena niemozliwa;0,5;2,14; - ;brak
SUNEX;Elektromasz.;4,4;B-                       ;3,94;24,7388381411263;-30%;5,36;3,57;0,81;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;8,33;Wycena niemozliwa;5,67;0,02;7,84;3,08; - ;brak
SUWARY;Tworzyw sztucznych;9,51;BBB-                     ;5,78;35,8671266091305;-27%;12,14;10,2;1,81;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;15,85;5,78;16,5;2,63;15,28;6,98;2005-01-01 - 2005-12-31;20,78%
SYGNITY;Informatyka;8,69;BB+                      ;5,3;67,6117733426595;+35%;18,82;1,92;4,67;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;52,97;3,52;84,78;Wycena niemozliwa;93,52;11,74;2006-01-01 - 2006-12-31;1,18%
SYNEKTIK;Farmaceutyczny;15,95;BB-                      ;4,82;31,5028416148941;-72%;6,64;4,14;2,22;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;13,51;Wycena niemozliwa;16,89;0,21;17,97;4,43; - ;brak
SYNTHOS;Chemiczny;3,79;AAA                      ;8,73;37,5356879652371;-28%;1,7;1,53;0,47;3,2;1,89;2,45;2,7;3,22;3,61;2,78;3,79;2,73;2,72;2014-01-01 - 2014-12-31;5,18%
TALEX;Informatyka;20,39;B                        ;4,41;18,4156352538522;+52%;14,83;14,44;2,01;15,9;18,2;15,36;15,54;41,73;21,99;85,53;20,49;94,4;31,08;2014-01-01 - 2014-12-31;7,66%
TARCZYNSKI;Spożywczy;12,5;B                        ;4,37;39,7306991067897;+52%;12,27;11,51;-3,66;17,6;16,94;14,93;15,82;22,84;19,52;27,91;15,6;30,71;18,96; - ;brak
TAURONPE;Energetyka;2,71;BB                       ;5,03;52,7169417970767;+129%;10,77;9,91;1,65;6,9;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;10,16;4,84;5,25;5,49;6,08;6,21;2014-01-01 - 2014-12-31;3,58%
TERESA;Farmaceutyczny;15,36;AAA                      ;11,12;0;-2%;7,05;7;3,49;10,7;9,86;8,88;9,48;14,35;31,95;13,51;31,66;13,11;14,98;2014-01-01 - 2014-12-31;7,40%
TERMOREX;Inne;3,02;AA+                      ;7,73;17,3198237885463;-97%;0,14;0,14;0,06;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;0,31;Wycena niemozliwa;0,36;Wycena niemozliwa;0,3;0,10; - ;brak
TESGAS;Budownictwo;3,23;AAA                      ;8,83;33,9466607929515;+70%;6,96;6,93;4,03;2,9;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;8,07;2,97;15,02;5,77;7,13;5,50;2014-01-01 - 2014-12-31;2,89%
TFONE;Handel hurtowy;3,03;BB+                      ;5,37;48,4373063043629;+93%;10,14;7,07;1,53;5,1;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;9,89;7,42;9,66;3,74;6,81;5,84;2014-01-01 - 2014-12-31;3,18%
TIM;Handel hurtowy;9;BB+                      ;5,38;50,6878851490144;-46%;7,5;6,4;2,2;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;7,31;Wycena niemozliwa;7,26;Wycena niemozliwa;10,34;4,85;2012-01-01 - 2012-12-31;2,31%
TORPOL;Budownictwo;10,52;BB+                      ;5,62;46,3273835437527;+76%;9,5;9,05;-0,59;17,4;26,31;13,45;14,77;11,02;16,8;104,87;26,63;41,82;18,56;2014-01-01 - 2014-12-31;4,04%
